entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
NEUTRAL	1.0	4.5	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background
NEUTRAL	2.0	3.2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background
ENTAILMENT	3.0	4.7	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile
NEUTRAL	5.0	3.4	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background
NEUTRAL	9.0	3.7	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background
NEUTRAL	12.0	4.0	Two dogs are fighting	Two dogs are wrestling and hugging
NEUTRAL	14.0	3.5	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting
NEUTRAL	18.0	3.2	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging
NEUTRAL	25.0	2.8	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike
NEUTRAL	26.0	3.7	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike
NEUTRAL	28.0	3.4	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel
ENTAILMENT	30.0	4.9	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game
NEUTRAL	35.0	3.6	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background
NEUTRAL	40.0	3.8	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game
CONTRADICTION	42.0	3.4	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching
ENTAILMENT	44.0	4.9	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match
NEUTRAL	45.0	3.9	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match
NEUTRAL	47.0	3.415	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight
NEUTRAL	49.0	3.7	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching
ENTAILMENT	55.0	4.4	Three boys are jumping in the leaves	Three kids are jumping in the leaves
NEUTRAL	56.0	3.8	Three kids are sitting in the leaves	Three kids are jumping in the leaves
NEUTRAL	58.0	3.5	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves
NEUTRAL	62.0	4.0	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves
NEUTRAL	65.0	2.9	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels
NEUTRAL	70.0	4.1	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels
NEUTRAL	72.0	2.5	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children
NEUTRAL	73.0	4.2	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels
ENTAILMENT	77.0	4.4	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest
NEUTRAL	78.0	3.2	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions
NEUTRAL	79.0	3.635	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction
NEUTRAL	81.0	2.4	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions
NEUTRAL	82.0	2.6	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest
NEUTRAL	83.0	2.2	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction
NEUTRAL	84.0	3.0	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume
NEUTRAL	85.0	2.0	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman
ENTAILMENT	87.0	5.0	A lone biker is jumping in the air	A biker is jumping in the air, alone
CONTRADICTION	88.0	4.2	There is no biker jumping in the air	A lone biker is jumping in the air
CONTRADICTION	90.0	3.0	A man is jumping into an empty pool	A man is jumping into a full pool
NEUTRAL	91.0	3.1	A man is jumping into an empty pool	The man's jumper is in the empty pool
NEUTRAL	93.0	1.7	A lone biker is jumping in the air	A man is jumping into a full pool
NEUTRAL	94.0	1.4	The man's jumper is in the empty pool	A lone biker is jumping in the air
NEUTRAL	97.0	1.5	A lone biker is jumping in the air	A man is jumping into an empty pool
ENTAILMENT	98.0	4.8	Four kids are doing backbends in the park	Four children are doing backbends in the park
NEUTRAL	99.0	3.8	Four children are doing backbends in the gym	Four children are doing backbends in the park
ENTAILMENT	100.0	4.1	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors
ENTAILMENT	107.0	4.3	A man who is playing is running with the ball in his hands	A player is running with the ball
NEUTRAL	112.0	2.1	Two groups of people are playing football	A player is running with the ball
NEUTRAL	113.0	3.0	Two teams are competing in a baseball game	A player is running with the ball
NEUTRAL	117.0	2.6	A player is running with the ball	Two teams are competing in a football match
NEUTRAL	120.0	3.2	Five wooden stands are in front of each child's hut	Five children are standing in front of a wooden hut
CONTRADICTION	122.0	3.7	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun
NEUTRAL	124.0	2.6	Five kids are standing close together and none of the kids has a gun	Five children are standing in front of a wooden hut
NEUTRAL	126.0	2.7	Five children are standing in a wooden hut	Five kids are standing close together and one kid has a gun
NEUTRAL	127.0	2.3	Five wooden stands are in front of each child's hut	Five kids are standing close together and one kid has a gun
ENTAILMENT	129.0	4.4	An old man is sitting in a field	A man is sitting in a field
NEUTRAL	130.0	2.6	A man is sitting in a field	A man is running in a field
NEUTRAL	131.0	4.1	A person is wearing a hat and is sitting on the grass	A person is sitting in a field and is wearing a hat
NEUTRAL	133.0	3.4	A person is sitting and wearing a grass hat	A person is wearing a hat and is sitting on the grass
NEUTRAL	136.0	3.3	A person is sitting and wearing a grass hat	A man is sitting in a field
NEUTRAL	139.0	3.8	A man is sitting in a field	A person is wearing a hat and is sitting on the grass
ENTAILMENT	140.0	4.9	The current is being ridden by a group of friends in a raft	A group of friends are riding the current in a raft
CONTRADICTION	141.0	3.7	A group of friends are riding the current in a raft	A group is not riding the current in a raft
NEUTRAL	146.0	3.2	The current is being ridden by a group of friends in a raft	This group of people is practicing water safety and wearing preservers
NEUTRAL	148.0	3.1	A group of friends are riding the current in a raft	This group of people is practicing water safety and wearing preservers
CONTRADICTION	150.0	3.9	A deer is jumping over a fence	A deer isn't jumping over the fence
NEUTRAL	159.0	3.4	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it
CONTRADICTION	161.0	3.5	Several people are in front of a colorful building	Nobody is in front of the colorful building
NEUTRAL	163.0	3.6	People are walking outside a building that has many murals on it	Nobody is in front of the colorful building
ENTAILMENT	164.0	3.6	People are walking outside the building that has several murals on it	Several people are in front of a colorful building
NEUTRAL	170.0	3.9	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball
NEUTRAL	173.0	3.015	A child is hitting a baseball	A family is watching a little boy who is missing a baseball
NEUTRAL	176.0	2.7	A child is missing a baseball	A family is watching a little boy who is hitting a baseball
NEUTRAL	183.0	3.3	A purple crowd of people is eating on various red lit restaurant tables	Various people are eating at red tables in a crowded restaurant with purple lights
NEUTRAL	184.0	2.9	A large group of Asian people is eating at a restaurant	Various customers are eating in a crowded restaurant with purple lights
NEUTRAL	186.0	3.1	A purple crowd of people is eating on various red lit restaurant tables	A large group of Asian people is eating at a restaurant
NEUTRAL	188.0	3.2	Various people are eating at red tables in a crowded restaurant with purple lights	A small group of people is waiting to eat in a restaurant
