pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
1,group kids playing yard old man standing background,group boys yard playing man standing background,4.5,NEUTRAL
2,group children playing house man standing background,group kids playing yard old man standing background,3.2,NEUTRAL
3,young boys playing outdoors man smiling nearby,kids playing outdoors near man smile,4.7,ENTAILMENT
5,kids playing outdoors near man smile,group kids playing yard old man standing background,3.4,NEUTRAL
9,young boys playing outdoors man smiling nearby,group kids playing yard old man standing background,3.7,NEUTRAL
12,two dogs fighting,two dogs wrestling hugging,4,NEUTRAL
14,brown dog attacking another animal front man pants,two dogs fighting,3.5,NEUTRAL
18,brown dog attacking another animal front man pants,two dogs wrestling hugging,3.2,NEUTRAL
25,nobody riding bicycle one wheel,person black jacket tricks motorbike,2.8,NEUTRAL
26,person riding bicycle one wheel,man black jacket tricks motorbike,3.7,NEUTRAL
28,person black motorbike tricks jacket,person riding bicycle one wheel,3.4,NEUTRAL
30,man jersey dunking ball basketball game,ball dunked man jersey basketball game,4.9,ENTAILMENT
35,man jersey dunking ball basketball game,man playing dunks basketball net crowd background,3.6,NEUTRAL
40,player dunking basketball net crowd background,man jersey dunking ball basketball game,3.8,NEUTRAL
42,two people kickboxing spectators watching,two people kickboxing spectators watching,3.4,CONTRADICTION
44,two young women sparring kickboxing fight,two women sparring kickboxing match,4.9,ENTAILMENT
45,two young women sparring kickboxing fight,two women sparring kickboxing match,3.9,NEUTRAL
47,two people kickboxing spectators watching,two young women sparring kickboxing fight,3.415,NEUTRAL
49,two women sparring kickboxing match,two people kickboxing spectators watching,3.7,NEUTRAL
55,three boys jumping leaves,three kids jumping leaves,4.4,ENTAILMENT
56,three kids sitting leaves,three kids jumping leaves,3.8,NEUTRAL
58,children red shirts playing leaves,three kids sitting leaves,3.5,NEUTRAL
62,children red shirts playing leaves,three kids jumping leaves,4,NEUTRAL
65,two angels making snow lying children,two children lying snow making snow angels,2.9,NEUTRAL
70,two children lying snow drawing angels,two people snowsuits lying snow making snow angels,4.1,NEUTRAL
72,two people snowsuits lying snow making snow angels,two angels making snow lying children,2.5,NEUTRAL
73,two children lying snow making snow angels,two people snowsuits lying snow making snow angels,4.2,NEUTRAL
77,people wearing costumes gathering forest looking direction,masked people looking direction forest,4.4,ENTAILMENT
78,people wearing costumes gathering forest looking direction,people wearing costumes scattering forest looking different directions,3.2,NEUTRAL
79,people looking costumes gathered vicinity forest,people wearing costumes gathering forest looking direction,3.635,NEUTRAL
81,little girl looking woman costume,people wearing costumes scattering forest looking different directions,2.4,NEUTRAL
82,little girl looking woman costume,people looking costumes gathered vicinity forest,2.6,NEUTRAL
83,young girl looking woman costume,people wearing costumes gathering forest looking direction,2.2,NEUTRAL
84,people wearing costumes gathering forest looking direction,little girl looking man costume,3,NEUTRAL
85,people wearing costumes gathering forest looking direction,little girl costume looks like woman,2,NEUTRAL
87,lone biker jumping air,"biker jumping air, alone",5,ENTAILMENT
88,biker jumping air,lone biker jumping air,4.2,CONTRADICTION
90,man jumping empty pool,man jumping full pool,3,CONTRADICTION
91,man jumping empty pool,man's jumper empty pool,3.1,NEUTRAL
93,lone biker jumping air,man jumping full pool,1.7,NEUTRAL
94,man's jumper empty pool,lone biker jumping air,1.4,NEUTRAL
97,lone biker jumping air,man jumping empty pool,1.5,NEUTRAL
98,four kids backbends park,four children backbends park,4.8,ENTAILMENT
99,four children backbends gym,four children backbends park,3.8,NEUTRAL
100,four girls backbends playing garden,four girls backbends playing outdoors,4.1,ENTAILMENT
107,man playing running ball hands,player running ball,4.3,ENTAILMENT
112,two groups people playing football,player running ball,2.1,NEUTRAL
113,two teams competing baseball game,player running ball,3,NEUTRAL
117,player running ball,two teams competing football match,2.6,NEUTRAL
120,five wooden stands front child's hut,five children standing front wooden hut,3.2,NEUTRAL
122,five kids standing close together one kid gun,five kids standing close together none kids gun,3.7,CONTRADICTION
124,five kids standing close together none kids gun,five children standing front wooden hut,2.6,NEUTRAL
126,five children standing wooden hut,five kids standing close together one kid gun,2.7,NEUTRAL
127,five wooden stands front child's hut,five kids standing close together one kid gun,2.3,NEUTRAL
129,old man sitting field,man sitting field,4.4,ENTAILMENT
130,man sitting field,man running field,2.6,NEUTRAL
131,person wearing hat sitting grass,person sitting field wearing hat,4.1,NEUTRAL
133,person sitting wearing grass hat,person wearing hat sitting grass,3.4,NEUTRAL
136,person sitting wearing grass hat,man sitting field,3.3,NEUTRAL
139,man sitting field,person wearing hat sitting grass,3.8,NEUTRAL
140,current ridden group friends raft,group friends riding current raft,4.9,ENTAILMENT
141,group friends riding current raft,group riding current raft,3.7,CONTRADICTION
146,current ridden group friends raft,group people practicing water safety wearing preservers,3.2,NEUTRAL
148,group friends riding current raft,group people practicing water safety wearing preservers,3.1,NEUTRAL
150,deer jumping fence,deer jumping fence,3.9,CONTRADICTION
159,people walking inside building many murals,people walking outside building many murals,3.4,NEUTRAL
161,several people front colorful building,nobody front colorful building,3.5,CONTRADICTION
163,people walking outside building many murals,nobody front colorful building,3.6,NEUTRAL
164,people walking outside building several murals,several people front colorful building,3.6,ENTAILMENT
170,family watching little boy hitting baseball,family watching little boy missing baseball,3.9,NEUTRAL
173,child hitting baseball,family watching little boy missing baseball,3.015,NEUTRAL
176,child missing baseball,family watching little boy hitting baseball,2.7,NEUTRAL
183,purple crowd people eating various red lit restaurant tables,various people eating red tables crowded restaurant purple lights,3.3,NEUTRAL
184,large group asian people eating restaurant,various customers eating crowded restaurant purple lights,2.9,NEUTRAL
186,purple crowd people eating various red lit restaurant tables,large group asian people eating restaurant,3.1,NEUTRAL
188,various people eating red tables crowded restaurant purple lights,small group people waiting eat restaurant,3.2,NEUTRAL
