pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
6,boy playing outdoors man smiling,group kids playing yard old man standing background,3.3,NEUTRAL
7,group boys yard playing man standing background,young boys playing outdoors man smiling nearby,3.7,NEUTRAL
8,group children playing house man standing background,young boys playing outdoors man smiling nearby,3,NEUTRAL
10,brown dog attacking another animal front tall man pants,brown dog attacking another animal front man pants,4.9,ENTAILMENT
11,brown dog attacking another animal front man pants,brown dog helping another animal front man pants,3.665,NEUTRAL
13,two dogs wrestling hugging,dog wrestling hugging,3.3,CONTRADICTION
15,brown dog attacking another animal front man pants,dog wrestling hugging,2.7,NEUTRAL
16,two dogs wrestling hugging,brown dog attacking another animal front tall man pants,2.9,NEUTRAL
17,two dogs wrestling hugging,brown dog helping another animal front man pants,2.3,NEUTRAL
19,person black jacket tricks motorbike,man black jacket tricks motorbike,4.9,ENTAILMENT
20,man black jacket tricks motorbike,person black jacket tricks motorbike,3.6,CONTRADICTION
21,person black jacket tricks motorbike,person black motorbike tricks jacket,3,NEUTRAL
22,skilled person riding bicycle one wheel,person riding bicycle one wheel,4.3,ENTAILMENT
23,nobody riding bicycle one wheel,person riding bicycle one wheel,4.1,CONTRADICTION
27,person riding bicycle one wheel,man black jacket tricks motorbike,3.2,NEUTRAL
29,person riding bicycle one wheel,person black jacket tricks motorbike,3.3,NEUTRAL
31,man jersey dunking ball basketball game,man dunking ball basketball game,4,CONTRADICTION
32,game basketball consists ball dunked man jersey,man jersey dunking ball basketball game,4.2,ENTAILMENT
33,man playing dunks basketball net crowd background,player dunking basketball net crowd background,4.7,ENTAILMENT
34,player missing basket crowd background,player dunking basketball net crowd background,3.9,CONTRADICTION
36,man jersey dunking ball basketball game,player missing basket crowd background,3.5,NEUTRAL
37,player dunking basketball net crowd background,ball dunked man jersey basketball game,4,NEUTRAL
38,man dunking ball basketball game,player dunking basketball net crowd background,3.5,CONTRADICTION
39,game basketball consists ball dunked man jersey,player dunking basketball net crowd background,3.6,NEUTRAL
41,two people kickboxing spectators watching,two people fighting spectators watching,4.4,ENTAILMENT
43,two spectators kickboxing people watching,two people kickboxing spectators watching,4,NEUTRAL
46,two people kickboxing spectators watching,two young women sparring kickboxing fight,3.9,NEUTRAL
48,two women sparring kickboxing match,two people fighting spectators watching,3.7,NEUTRAL
